Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C1",9.500000,-45.500000,0.000000,bottom
"C2","100nF","C2",9.500000,-36.600000,0.000000,bottom
"C3","100nF","C3",12.500000,-48.500000,0.000000,bottom
"C4","100nF","C4",43.000000,-36.100000,0.000000,bottom
"C5","VSENSE filt","C5",7.400000,-52.600000,0.000000,bottom
"C6","100nF","C6",22.700000,-36.400000,0.000000,bottom
"C7","100nF","C7",38.500000,-49.000000,0.000000,bottom
"D1","MMSD301T1G","D1",44.000000,-43.900000,0.000000,bottom
"D2","LA P47F","D2",16.100000,-43.900000,0.000000,bottom
"D3","LA P47F","D3",22.400000,-43.900000,0.000000,bottom
"D4","LA P47F","D4",28.700000,-43.900000,0.000000,bottom
"D5","LA P47F","D5",34.700000,-43.900000,0.000000,bottom
"D9","MMSD301T1G","D9",43.500000,-53.500000,0.000000,bottom
"Q1","BCP5316MTWG","Q1",41.100000,-49.000000,0.000000,bottom
"R1","LED ballast","R1",16.100000,-49.600000,0.000000,bottom
"R2","LED ballast","R2",22.400000,-49.600000,0.000000,bottom
"R3","LED ballast","R3",28.700000,-49.600000,0.000000,bottom
"R4","LED ballast","R4",34.700000,-49.600000,0.000000,bottom
"R5","VSENSE div","R5",4.500000,-50.400000,0.000000,bottom
"R6","VSENSE div","R6",7.600000,-50.400000,0.000000,bottom
"R7","1.8M","R7",45.500000,-48.000000,0.000000,bottom
"R8","1M","R8",45.500000,-50.500000,0.000000,bottom
"R9","1k","R9",40.500000,-46.100000,0.000000,bottom
"R10","4.7k","R10",16.000000,-32.400000,0.000000,bottom
"R11","4.7k","R11",16.000000,-34.960000,0.000000,bottom
"R12","TINY ballast","R12",31.550000,-48.600000,0.000000,bottom
"SJ1","VDDIO2 jmp","SJ1",13.300000,-46.000000,0.000000,bottom
"U1","AVR64DD28 (VQFN28)","U1",9.500000,-40.900000,0.000000,bottom
"U2","ALD910025SAL","U2",28.500000,-37.000000,0.000000,bottom
"U3","LIS2DH12","U3",20.000000,-35.900000,0.000000,bottom
"U4","TLV431BCDBZR","U4",43.000000,-49.000000,0.000000,bottom
